lat,lng,aqi
28.62827,77.25133,102
28.61902,77.10476,435
28.64897,77.15123,348
28.57983,77.19957,270
28.6344,77.30191,106
28.51239,77.24373,71
28.56653,77.00046,188
28.56104,77.16721,20
28.54378,77.17978,102
28.72177,77.2765,121
28.64456,77.19332,466
28.53103,77.25642,214
28.60946,77.03477,330
28.72983,77.19878,458
28.67644,77.20228,87
28.5965,77.13499,372
28.55945,77.19201,99
28.63403,77.00299,359
28.53713,77.11535,151
28.5592,77.24183,130
28.86453,77.09867,149
28.67107,77.30143,308
28.54346,76.97072,257
28.62454,77.31909,343
28.54024,77.21777,491
28.58685,77.18972,413
28.68157,77.28583,293
28.73681,77.16021,385
28.6709,77.23113,191
28.59065,77.0716,443
28.56469,77.17842,276
28.52225,77.22907,160
28.59045,77.06926,459
28.64874,77.27922,313
28.56156,77.05107,21
28.55943,76.96449,252
28.66696,77.32145,235
28.61302,77.08658,344
28.59243,77.18826,48
28.6849,77.16734,474
28.62956,77.31727,58
28.69755,77.18621,169
28.56981,77.20425,475
28.56875,77.18427,187
28.69023,77.09522,463
28.68085,77.1847,270
28.61609,77.00687,189
28.60208,77.21764,445
28.63853,77.09976,174
28.57932,77.208,445
28.69186,77.16754,50
28.60214,77.29001,363
28.66843,77.22522,54
28.58953,77.24641,243
28.65967,77.31299,319
28.6291,77.22168,130
28.63748,77.20707,484
28.72953,77.09475,306
28.55051,77.18156,134
28.56521,77.13442,20
28.64843,77.2952,328
28.71539,77.21605,166
28.45664,77.14717,273
28.66979,77.20762,387
28.59914,77.22862,88
28.54646,77.17948,315
28.8364,77.12172,13
28.56247,77.16995,241
28.60155,77.32599,264
28.6829,77.30805,345
28.63068,77.21525,52
28.57041,77.24677,385
28.54237,77.22476,339
28.6322,77.19036,91
28.54937,77.18061,366
28.52802,77.2889,443
28.54043,77.1851,454
28.68822,77.20637,427
28.64902,77.30466,263
28.57834,77.18998,430
28.56604,77.06492,34
28.59314,77.07131,205
28.53471,77.15262,80
28.52552,77.22587,419
28.55878,77.19564,49
28.80499,76.97677,359
28.68943,77.29154,387
28.59822,77.16336,1
28.67303,77.14383,389
28.63669,77.21831,53
28.54543,77.30778,105
28.54784,77.1671,259
28.63897,77.25135,309
28.56185,77.18065,476
28.50545,77.2764,190
28.57085,77.16914,401
28.61632,77.0951,217
28.63924,77.22395,43
28.69217,77.09847,161
28.62885,77.0765,201
28.58711,77.23431,445
28.65862,77.27208,483
28.6832,77.27484,269
28.69043,77.22114,350
28.63522,77.20314,303
28.79714,77.11718,270
28.58897,77.25881,455
28.79519,77.09771,461
28.66629,77.22215,214
28.55292,77.03529,251
28.69954,77.20322,189
28.68845,77.09094,295
28.61744,77.10543,212
28.5614,77.22214,207
28.66904,77.30607,236
28.51169,77.25765,337
28.67066,77.26238,366
28.59735,77.06481,52
28.58447,77.22337,279
28.75196,77.14953,409
28.63521,77.08052,216
28.5878,77.06661,251
28.68122,77.1554,187
28.53299,77.1955,379
28.68717,77.11997,492
28.519,77.20875,40
28.58686,77.04189,156
28.72954,77.25976,14
28.61687,77.11061,300
28.53395,77.14239,64
28.73727,77.16034,344
28.85334,77.08844,326
28.58771,77.1704,8
28.57052,77.18247,343
28.54504,77.30626,128
28.60247,77.04268,491
28.68748,77.15409,135
28.68208,77.05907,471
28.62132,77.28472,62
28.5545,77.17825,138
28.63318,77.12679,498
28.68214,77.27473,80
28.69187,77.27921,391
28.77923,77.17978,162
28.59244,77.08057,418
28.68389,77.31871,288
28.63474,77.20363,378
28.59747,76.89475,260
28.77602,77.17965,489
28.73329,77.12655,230
28.70076,77.16142,40
28.66323,77.32019,27
28.66952,77.30463,134
28.55934,77.22595,200
28.64072,77.21851,327
28.63623,77.22628,267
28.65192,77.30159,417
28.6087,77.30801,32
28.69185,77.15382,47
28.685,77.33111,406
28.69828,77.20544,61
28.69446,77.10667,215
28.65394,77.12377,292
28.68944,77.30109,98
28.59041,77.17291,171
28.71742,77.15812,359
28.6927,77.0818,213
28.66543,77.09208,474
28.54349,77.20576,34
28.57512,77.2626,448
28.62526,77.06761,226
28.58451,76.99572,100
28.60853,77.30801,430
28.57482,77.14149,461
28.65313,77.27135,130
28.54645,77.1255,256
28.7422,77.19793,4
28.68934,77.30744,217
28.63135,77.00031,254
28.53182,77.25891,397
28.53073,76.92084,358
28.56069,77.15984,282
28.67966,77.09164,392
28.6798,77.1957,206
28.6793,77.31554,14
28.56585,77.24946,345
28.59713,77.17129,41
28.61654,77.28069,379
28.53732,77.05132,460
28.68614,77.20565,178
28.52556,77.22577,62
28.61314,77.31559,351
28.65389,77.23617,230
28.64132,77.14507,240
28.61403,77.10617,51
28.64156,77.20421,95
28.63949,77.07919,387
28.55783,77.21748,221
28.64305,77.31657,484
28.66891,77.17292,406
